127.0.0.1, 2024-04-01 21:14:50, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.018466
127.0.0.1, 2024-04-01 21:15:23, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.014740
127.0.0.1, 2024-04-01 21:15:30, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.013963
127.0.0.1, 2024-04-01 21:15:48, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.013961
127.0.0.1, 2024-04-01 21:15:54, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.013950
127.0.0.1, 2024-04-01 21:16:00, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.013032
127.0.0.1, 2024-04-01 21:16:04, POST, /learner/courses/create_course, HTTP/1.1, 500, 0.333881
127.0.0.1, 2024-04-01 21:17:09, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.046984
127.0.0.1, 2024-04-01 21:17:11, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.013007
127.0.0.1, 2024-04-01 21:17:13, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.016961
127.0.0.1, 2024-04-01 21:23:20, GET, /learner/courses/filter_courses, HTTP/1.1, 500, 0.050875
127.0.0.1, 2024-04-01 21:23:56, GET, /learner/courses/filter_courses, HTTP/1.1, 500, 0.050444
127.0.0.1, 2024-04-01 21:24:58, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.046871
127.0.0.1, 2024-04-01 21:25:26, GET, /learner/courses/filter_courses, HTTP/1.1, 500, 0.068174
127.0.0.1, 2024-04-01 21:25:41, GET, /learner/courses/filter_courses, HTTP/1.1, 500, 0.043468
127.0.0.1, 2024-04-01 21:25:43, GET, /admin/default/ticket/learner/127.0.0.1.2024-04-01.21-25-41.2a86140c-07ae-43b8-8986-7490fd1cf926, HTTP/1.1, 303, 0.455937
127.0.0.1, 2024-04-01 21:25:43, GET, /admin/default/index, HTTP/1.1, 200, 0.286845
127.0.0.1, 2024-04-01 21:25:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-01 21:25:46, POST, /admin/default/index, HTTP/1.1, 303, 0.028821
127.0.0.1, 2024-04-01 21:25:46, GET, /admin/default/ticket/learner/127.0.0.1.2024-04-01.21-25-41.2a86140c-07ae-43b8-8986-7490fd1cf926, HTTP/1.1, 200, 0.154359
127.0.0.1, 2024-04-01 21:25:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-01 21:26:00, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.034212
127.0.0.1, 2024-04-01 21:26:10, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.013951
127.0.0.1, 2024-04-01 21:26:15, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.014965
127.0.0.1, 2024-04-01 21:26:19, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.015107
127.0.0.1, 2024-04-01 21:27:09, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.031544
127.0.0.1, 2024-04-01 21:27:50, GET, /learner/default/index, HTTP/1.1, 200, 0.015632
127.0.0.1, 2024-04-01 21:27:51, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-04-01 21:29:48, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.031655
127.0.0.1, 2024-04-01 21:30:29, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.031640
127.0.0.1, 2024-04-01 21:30:34, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.012483
127.0.0.1, 2024-04-01 21:30:37, GET, /learner/courses/filter_courses, HTTP/1.1, 500, 0.043723
127.0.0.1, 2024-04-01 21:30:53, GET, /learner/courses/filter_courses, HTTP/1.1, 200, 0.047258
127.0.0.1, 2024-04-02 02:15:52, GET, /, HTTP/1.1, 303, 0.966135
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.620816
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.008512
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:52, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:15:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.015664
127.0.0.1, 2024-04-02 02:15:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000000
127.0.0.1, 2024-04-02 02:16:22, GET, /welcome/courses/get_courses, HTTP/1.1, 500, 0.385307
127.0.0.1, 2024-04-02 02:16:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/default/ticket/welcome/127.0.0.1.2024-04-02.02-16-22.5595943b-cbf2-49fe-b0e0-d9cc970905a5, HTTP/1.1, 303, 0.220953
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/default/index, HTTP/1.1, 200, 0.076950
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/css/calendar.css, HTTP/1.1, 200, 0.003998
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003012
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004129
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002998
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.003012
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004523
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001512
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001512
127.0.0.1, 2024-04-02 02:16:24, GET, /admin/static/_2.24.1/images/questions.png, HTTP/1.1, 200, 0.001011
127.0.0.1, 2024-04-02 02:16:25, GET, /favicon.ico, HTTP/1.1, 400, 0.006108
127.0.0.1, 2024-04-02 02:16:26, POST, /admin/default/index, HTTP/1.1, 303, 0.022226
127.0.0.1, 2024-04-02 02:16:27, GET, /admin/default/ticket/welcome/127.0.0.1.2024-04-02.02-16-22.5595943b-cbf2-49fe-b0e0-d9cc970905a5, HTTP/1.1, 200, 0.112958
127.0.0.1, 2024-04-02 02:16:27, GET, /admin/static/_2.24.1/images/help.png, HTTP/1.1, 200, 0.001033
127.0.0.1, 2024-04-02 02:16:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-02 02:16:47, GET, /welcome/courses/get_courses, HTTP/1.1, 500, 5.067150
127.0.0.1, 2024-04-02 02:16:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
